x,vis,uv
0.0,0.0,0.0
0.02,0.0004232444200040176,0.00756518427771888
0.04,0.000845778654761592,0.009576143701171151
0.06,0.0012676041635377635,0.01078471016430342
0.08,0.001688722401802993,0.01165107778440784
0.1,0.0021091348212452974,0.01232992448585128
0.12,0.0025288428697823415,0.012890629840815009
0.14,0.002947847991573483,0.01337003420449511
0.16,0.003366151627031773,0.013789993282866675
0.18,0.0037837552128359075,0.014164528724337407
0.2,0.004200660181942135,0.014503174871798453
0.22,0.004616867963596123,0.014812712423914503
0.24,0.005032379983344771,0.015098138814550726
0.26,0.005447197663047983,0.015363245597150174
0.28,0.0058613224208904,0.01561097942574914
0.3,0.00627475567139308,0.015843677164892458
0.32,0.006687498825425137,0.016063224375786077
0.34,0.007099553290215333,0.016271165328461824
0.36,0.007510920469363638,0.01646878132115181
0.38,0.00792160176285273,0.01665714767891623
0.4,0.008331598567059456,0.016837176046755917
0.42,0.00874091227476626,0.01700964631423514
0.44,0.00914954427517256,0.01717523108517384
0.46,0.009557495953906073,0.017334514692668394
0.48,0.009964768693034113,0.01748800815968883
0.5,0.01037136387107484,0.017636161102834863
0.52,0.010777282863008466,0.0177793713013632
0.54,0.011182527040288421,0.017917992461826168
0.56,0.011587097770852468,0.018052340573015007
0.58,0.011990996419133789,0.01818269914854438
0.6,0.012394224346072024,0.018309323583596607
0.62,0.012796782909124267,0.018432444800189744
0.64,0.013198673462276024,0.018552272316481995
0.66,0.013599897356052118,0.01866899684637444
0.68,0.014000455937527573,0.018782792513432886
0.7000000000000001,0.014400350550338448,0.018893818746081734
0.72,0.01479958253469262,0.01900222190781161
0.74,0.015198153227380553,0.019108136705833324
0.76,0.015596063961785978,0.01921168741350505
0.78,0.0159933160678966,0.019312988935440895
0.8,0.0163899108723147,0.01941214773909138
0.8200000000000001,0.016785849698267772,0.01950926267248093
0.84,0.01718113386561901,0.019604425684473237
0.86,0.017575764690877876,0.01969772246124525
0.88,0.017969743487210546,0.019789232990455177
0.9,0.01836307156445037,0.019879032062788404
0.92,0.018755750229108224,0.019967189719081083
0.9400000000000001,0.01914778078438292,0.020053771649990764
0.96,0.019539164530171474,0.02013883955416137
0.98,0.019929902763079436,0.020222451459974772
1.0,0.020319996776431103,0.0203046620152648
1.02,0.02070944786027973,0.020385522748766115
1.04,0.021098257301417678,0.020465082306560297
1.06,0.021486426383386582,0.02054338666634918
1.08,0.0218739563864874,0.020620479332017234
1.1,0.022260848587790514,0.02069640151063082
1.12,0.022647104261145697,0.020771192273752917
1.1400000000000001,0.02303272467719212,0.020844888704720736
1.16,0.02341771110336829,0.020917526033334785
1.18,0.023802064803921972,0.020989137759235495
1.2,0.024185787039920022,0.021059755765094935
1.22,0.02456887906925825,0.02112941042062157
1.24,0.024951342146671204,0.021198130678263174
1.26,0.02533317752374192,0.021265944161395146
1.28,0.02571438644891171,0.021332877245694964
1.3,0.026094970167489736,0.021398955134328556
1.32,0.02647492992166277,0.02146420192750782
1.34,0.026854266950504756,0.021528640686920255
1.36,0.027232982489986426,0.021592293495480412
1.3800000000000001,0.027611077772984792,0.02165518151280713
1.4000000000000001,0.027988554029292727,0.02171732502679026
1.42,0.028365412485628395,0.021778743501575035
1.44,0.028741654365644697,0.02183945562226026
1.46,0.029117280889938726,0.021899479336578213
1.48,0.02949229327606107,0.021958831893799064
1.5,0.02986669273852519,0.0220175298810798
1.52,0.030240480488816744,0.022075589257457777
1.54,0.030613657735402797,0.022133025385670694
1.56,0.030986225683741143,0.0221898530619685
1.58,0.031358185536289426,0.022246086544068525
1.6,0.03172953849251435,0.022301739577391486
1.62,0.032100285748900816,0.02235682541970451
1.6400000000000001,0.03247042849896103,0.022411356864286556
1.6600000000000001,0.03283996793324356,0.02246534626172183
1.68,0.033208905239342355,0.022518805540418192
1.7,0.0335772416019058,0.02257174622593955
1.72,0.03394497820264562,0.022624179459233992
1.74,0.034312116220345926,0.02267611601383304
1.76,0.034678656830871964,0.02272756631209123
1.78,0.03504460120717916,0.022778540440530026
1.8,0.03540995051932179,0.022829048164345042
1.82,0.03577470593446197,0.022879098941131
1.84,0.03613886861687831,0.022928701933874886
1.86,0.036502439727974643,0.022977866023263814
1.8800000000000001,0.036865420426288875,0.02302659981935088
1.9000000000000001,0.037227811867501515,0.02307491167261893
1.92,0.03758961520444444,0.023122809684479457
1.94,0.037950831587109435,0.023170301717240962
1.96,0.03831146216265686,0.02321739540357899
1.98,0.03867150807542411,0.023264098155537514
2.0,0.03903097046693424,0.02331041717308935
